51,22,2,2
90,28,2,2
61,90,2,2
48,47,2,2
10,7,2,2
63,6,2,2
29,96,2,2
56,89,2,2
11,89,2,2
17,34,2,2
24,31,2,2
79,32,2,2
6,32,2,2
29,88,2,2
78,5,2,2
94,22,2,2
21,91,2,2
24,93,2,2
93,62,2,2
94,3,2,2
92,0,2,2
5,4,2,2
26,55,2,2
46,2,2,2
94,16,2,2
10,58,2,2
20,47,2,2
51,39,2,2
39,49,2,2
54,78,2,2
34,57,2,2
59,27,2,2
44,15,2,2
74,53,2,2
1,62,2,2
2,49,2,2
98,13,2,2
92,33,2,2
90,98,2,2
71,74,2,2
28,83,2,2
93,78,2,2
11,84,2,2
82,20,2,2
29,3,2,2
87,34,2,2
84,69,2,2
48,73,2,2
51,31,2,2
16,40,2,2
61,16,2,2
71,86,2,2
90,79,2,2
13,45,2,2
15,94,2,2
68,61,2,2
75,49,2,2
65,16,2,2
3,59,2,2
38,97,2,2
42,83,2,2
62,51,2,2
0,4,2,2
6,41,2,2
38,91,2,2
79,61,2,2
89,67,2,2
18,54,2,2
58,62,2,2
30,25,2,2
16,61,2,2
51,45,2,2
13,19,2,2
73,81,2,2
44,36,2,2
25,18,2,2
44,33,2,2
95,75,2,2
66,98,2,2
43,54,2,2
33,41,2,2
78,92,2,2
11,3,2,2
37,84,2,2
60,70,2,2
68,30,2,2
85,3,2,2
55,59,2,2
1,85,2,2
78,98,2,2
2,42,2,2
27,62,2,2
32,8,2,2
39,58,2,2
61,83,2,2
42,90,2,2
75,72,2,2
70,7,2,2
50,88,2,2
51,84,2,2
80,41,2,2
31,21,2,2
93,91,2,2
94,50,2,2
35,92,2,2
71,13,2,2
61,23,2,2
45,83,2,2
75,62,2,2
67,39,2,2
89,50,2,2
49,16,2,2
36,32,2,2
56,68,2,2
52,92,2,2
55,41,2,2
81,25,2,2
29,50,2,2
66,58,2,2
90,93,2,2
61,93,2,2
86,87,2,2
29,43,2,2
68,51,2,2
44,78,2,2
56,93,2,2
86,0,2,2
94,41,2,2
46,88,2,2
40,52,2,2
22,11,2,2
5,54,2,2
55,19,2,2
61,1,2,2
42,19,2,2
72,27,2,2
52,25,2,2
37,19,2,2
0,73,2,2
75,10,2,2
21,0,2,2
79,10,2,2
73,5,2,2
7,58,2,2
58,31,2,2
87,18,2,2
78,23,2,2
34,51,2,2
48,95,2,2
77,89,2,2
48,11,2,2
52,61,2,2
85,91,2,2
42,0,2,2
35,72,2,2
61,55,2,2
67,9,2,2
43,11,2,2
73,44,2,2
35,14,2,2
14,25,2,2
51,51,2,2
44,39,2,2
50,28,2,2
24,61,2,2
86,57,2,2
74,22,2,2
61,32,2,2
98,17,2,2
79,28,2,2
86,11,2,2
26,43,2,2
83,10,2,2
32,11,2,2
70,42,2,2
60,78,2,2
65,48,2,2
92,25,2,2
35,48,2,2
60,8,2,2
89,70,2,2
74,18,2,2
65,13,2,2
61,67,2,2
75,33,2,2
3,34,2,2
79,53,2,2
73,2,2,2
21,56,2,2
48,33,2,2
75,13,2,2
67,75,2,2
17,69,2,2
3,29,2,2
69,79,2,2
2,56,2,2
64,68,2,2
12,94,2,2
23,77,2,2
93,12,2,2
1,16,2,2
76,28,2,2
54,51,2,2
7,98,2,2
15,55,2,2
2,8,2,2
85,97,2,2
33,86,2,2
70,65,2,2
42,65,2,2
60,58,2,2
36,68,2,2
54,71,2,2
38,29,2,2
25,35,2,2
0,79,2,2
46,53,2,2
21,70,2,2
41,75,2,2
14,35,2,2
71,30,2,2
7,78,2,2
98,89,2,2
10,32,2,2
41,44,2,2
40,16,2,2
15,81,2,2
14,12,2,2
50,5,2,2
86,40,2,2
56,12,2,2
74,58,2,2
27,13,2,2
72,95,2,2
21,20,2,2
29,38,2,2
52,74,2,2
87,54,2,2
10,35,2,2
68,26,2,2
56,0,2,2
16,2,2,2
19,63,2,2
33,18,2,2
18,12,2,2
82,0,2,2
86,26,2,2
57,52,2,2
70,83,2,2
59,47,2,2
