50,90
50,90
50,10
50,90
50,90
50,10
50,90
50,90
50,10
50,90
50,90
50,10
50,90
50,90
50,10
50,90
50,90
50,10
50,90
50,90
-1,-1
50,10
50,90
-1,-1
3.14062,0
50,10
50,90
50,90
-1,-1
50,10
50,90
50,90
-1,-1
50,10
50,90
50,90
-1,-1
50,10
50,90
50,90
-1,-1
50,10
50,90
50,90
-1,-1
50,10
50,90
50,90
-1,-1
50,10
50,90
-1,-1
3.14062,0
50,10
50,90
-1,-1
0,0
50,10
50,90
-1,-1
0,0
50,10
50,90
-1,-1
3.14062,0
50,10
50,90
-1,-1
0,0
50,10
50,90
-1,-1
3.14062,0
50,10
50,90
-1,-1
0,0
50,10
50,90
-1,-1
3.14062,0
50,10
50,90
-1,-1
3.14062,0
50,10
50,90
20,80
20,20
40,20
40,25
25,25
25,75
50,75
50,10
50,90
20,80
20,20
40,20
40,25
25,25
25,75
50,75
50,10
50,90
20,80
20,20
40,20
40,25
25,25
25,75
50,75
50,10
50,90
20,80
20,20
25,75
50,10
50,90
20,80
20,20
25,75
50,10
50,90
20,80
20,20
40,20
40,25
25,25
25,75
50,75
50,10
50,90
20,80
20,20
40,20
40,25
25,25
25,75
50,75
50,10
50,90
20,80
20,20
40,20
40,25
25,25
25,75
50,75
50,10
50,90
20,80
20,20
40,20
40,25
25,25
25,75
50,75
50,10
50,90
20,80
20,20
40,20
40,25
25,25
25,75
50,75
50,10
50,90
20,80
20,20
40,20
40,25
25,25
25,75
50,75
50,10
50,90
20,80
20,20
40,20
40,25
25,25
25,75
50,75
50,10
50,90
20,80
20,20
40,20
40,25
25,25
25,75
50,75
50,10
50,90
20,80
20,20
40,20
40,25
25,25
25,75
50,75
50,10
50,90
80,80
80,20
60,20
60,25
75,25
75,60
65,60
65,65
75,65
75,75
51.6667,75
55,45
55,40
50,40
50,10
50,90
80,80
80,20
60,20
60,25
75,25
75,60
65,60
65,65
75,65
75,75
51.6667,75
55,45
55,40
50,40
50,10
50,90
80,80
80,20
60,20
60,25
75,25
75,60
65,60
65,65
75,65
75,75
51.6667,75
55,45
55,40
50,40
50,10
50,90
20,80
20,20
40,20
40,25
25,25
25,40
50,40
50,10
50,90
20,80
20,20
40,20
40,25
25,25
25,40
50,40
50,10
50,90
20,80
20,20
40,20
40,25
25,25
25,40
50,40
50,10
50,90
20,80
20,20
40,20
40,25
25,25
25,40
50,40
50,10
