3,86
3.93553,83.8333
4.23441,82.879
30.3367,75.8624
39.2316,31.1177
99.6001,26.977
99.2582,2.56024
96,2
3,86
7.22733,92.8893
9.14156,93.4009
38.9766,92.4767
48.9768,70.9707
99.9074,70.5941
97,5
3,86
29.6896,80.5259
30.5192,79.9676
54.0365,75.0386
57.6351,61.18
65.8075,52.0856
80.2471,24.7126
83.7585,15.9889
97,5
3,86
41.1643,76.782
56.6642,74.8757
56.6209,62.4654
73.4437,43.1791
81.84,19.9672
97,5
3,86
7.45174,92.1339
25.5609,91.007
61.5801,87.6741
78.6228,61.272
85.4242,61.5106
86.1826,60.8588
86.6677,39.105
97,5
