96,2
79,4
70,35
56,55
33,63
25,77
4,83
3,86
97,5
86,15
55,20
52,58
35,67
7,80
3,86
97,5
86,15
55,20
52,58
37,67
7,80
3,86
97,5
86,15
55,20
52,58
33,67
7,80
3,86
97,5
86,15
55,20
52,58
33,67
7,80
3,86
97,5
86,15
55,20
52,58
33,67
7,80
3,86
97,5
86,15
55,20
52,58
33,67
7,80
3,86
97,5
86,15
55,20
52,58
33,67
7,80
3,86
97,5
86,15
55,20
52,58
33,67
7,80
3,86
97,5
86,15
55,20
52,58
33,67
7,80
3,86
97,5
86,15
55,20
52,58
33,67
7,80
3,86
97,5
86,15
55,20
52,58
33,67
7,80
3,86
97,5
86,15
55,20
52,58
33,67
7,80
3,86
97,5
86,15
55,20
52,58
33,67
7,80
3,86
97,5
86,15
55,20
52,58
33,67
7,80
3,86
97,5
86,15
55,20
52,58
33,67
7,80
3,86
97,5
86,15
55,20
52,58
33,67
7,80
3,86
97,5
86,15
55,20
52,58
33,67
7,80
3,86
97,5
86,15
55,20
52,58
33,67
7,80
3,86
97,5
86,15
55,20
52,58
33,67
7,80
3,86
97,5
86,15
55,20
52,58
33,67
7,80
3,86
97,5
86,15
55,20
52,58
33,67
7,80
3,86
97,5
86,15
55,20
52,58
33,67
7,80
3,86
